SORT - Training Data - Faster R-CNN (VGG16) - Out of the Box Kalman Filter

                IDF1   IDP   IDR  Rcll  Prcn  GT  MT  PT  ML   FP    FN IDs   FM  MOTA  MOTP
ADL-Rundle-6   43.4% 50.4% 38.1% 57.5% 76.2%  24   6  16   2  898  2128  75  103 38.1% 0.252
TUD-Campus     60.6% 72.0% 52.4% 68.5% 94.3%   8   5   3   0   15   113   6   14 62.7% 0.273
ETH-Sunnyday   72.4% 74.5% 70.5% 77.5% 81.9%  30  11  16   3  319   418  22   51 59.1% 0.256
KITTI-17       71.1% 84.5% 61.3% 67.1% 92.3%   9   1   8   0   38   225   9   16 60.2% 0.277
ETH-Pedcross2  53.5% 73.6% 42.1% 51.9% 90.8% 133  16  61  56  330  3014  76  105 45.4% 0.252
KITTI-13       43.8% 61.2% 34.1% 38.6% 69.2%  42   0  31  11  131   468  16   23 19.3% 0.315
TUD-Stadtmitte 73.5% 84.8% 64.8% 74.5% 97.5%  10   6   4   0   22   295  10   16 71.7% 0.248
Venice-2       32.4% 40.9% 26.8% 42.5% 64.8%  26   8   8  10 1650  4109  57  106 18.6% 0.264
PETS09-S2L1    35.1% 38.0% 32.6% 75.0% 87.4%  19   8  11   0  485  1119 103  191 61.9% 0.323
ETH-Bahnhof    60.9% 66.8% 56.0% 64.9% 77.4% 171  50  64  57 1024  1903  71  146 44.6% 0.257
ADL-Rundle-8   32.6% 44.3% 25.8% 44.3% 75.8%  28   7  15   6  959  3781 102  215 28.6% 0.290
OVERALL        45.9% 55.4% 39.2% 56.0% 79.2% 500 118 237 145 5871 17573 547  986 39.9% 0.272


